year/month,100K,100K,500K,500K,1M,1M,10M,10M
2022-03,11.0,"bridge-oracle, defiato, revolotto, star-wars-cat, acute-angle-cloud, kiba-inu, vaiot, bitcoin-god, ",7.0,"bridge-oracle, revolotto, star-wars-cat, kiba-inu, vaiot, bitcoin-god, ",4.0,"bridge-oracle, revolotto, star-wars-cat, vaiot, ",0.0,
2022-04,22.0,"zik-token, eminer, helpseed, rubix, sensitrust, blocsport-one, gamerse, youcash, goblin, indian-shiba-inu, gem-exchange-and-trading, bitcoin-god, bomb, medical-token-currency, ",3.0,"helpseed, rubix, gem-exchange-and-trading, ",1.0,"gem-exchange-and-trading, ",0.0,
2022-05,25.0,"kleekai, metagamz, zik-token, eminer, wrapped-busd-allbridge-from-bsc, panicswap, bittorrent-old, facedao, cloudname, advanced-united-continent, gene, fountain-protocol, yourkiss, unicorn-token, wrapped-cusd-allbridge-from-celo, lightcoin, zatcoin-2, pollchain, bitcoin-god, ",12.0,"zik-token, eminer, wrapped-busd-allbridge-from-bsc, facedao, cloudname, advanced-united-continent, gene, yourkiss, unicorn-token, wrapped-cusd-allbridge-from-celo, bitcoin-god, ",8.0,"wrapped-busd-allbridge-from-bsc, facedao, cloudname, advanced-united-continent, gene, unicorn-token, wrapped-cusd-allbridge-from-celo, bitcoin-god, ",1.0,"unicorn-token, "
2022-06,19.0,"revolotto, zenc-coin, zik-token, shibadoge, kitty-coin-solana, mm72, saitama-inu, pollchain, silva-token, bitcoin-god, tenset, ideachain, ",13.0,"revolotto, zenc-coin, shibadoge, kitty-coin-solana, mm72, saitama-inu, pollchain, silva-token, bitcoin-god, tenset, ",5.0,"zenc-coin, kitty-coin-solana, saitama-inu, silva-token, tenset, ",1.0,"zenc-coin, "
2022-07,9.0,"pawn-my-nft, meta-mvrs, viking-elon, gstcoin, waultswap, icommunity, muu-inu, pollchain, kujira, ",1.0,"meta-mvrs, ",1.0,"meta-mvrs, ",0.0,
2022-08,9.0,"genopet-ki, mycelium, stkd-scrt, decentralized-mining-exchange, spartacus, xtrabytes, ",6.0,"genopet-ki, mycelium, decentralized-mining-exchange, spartacus, xtrabytes, ",2.0,"genopet-ki, mycelium, ",0.0,
2022-09,15.0,"franklin, elon-goat, poo-doge, acetoken, bytecoin, spartacus, teddy-doge, got-guaranteed, ",7.0,"franklin, poo-doge, bytecoin, spartacus, got-guaranteed, ",2.0,"franklin, got-guaranteed, ",1.0,"franklin, "
2022-10,11.0,"starkmeta, daolaunch, hashbit, acreage-coin, metarare, drunk-robots, scholarship-coin, porta, metronome, goldminer, ideachain, ",5.0,"hashbit, metarare, drunk-robots, porta, goldminer, ",2.0,"hashbit, goldminer, ",1.0,"goldminer, "
2022-11,12.0,"spacelens, zenc-coin, aureo, daolaunch, fable-of-the-dragon, stableusd, shibadoge, spartacus, sonm, safuu, ideachain, ",5.0,"aureo, fable-of-the-dragon, sonm, safuu, ideachain, ",4.0,"aureo, sonm, safuu, ideachain, ",1.0,"sonm, "
2022-12,12.0,"tnc-coin, maya-preferred-223, euro-coin, pi-network-iou, trace-network-labs, sandwich-network, azit, spartacus, ideachain, ",11.0,"tnc-coin, maya-preferred-223, euro-coin, pi-network-iou, trace-network-labs, sandwich-network, azit, ideachain, ",5.0,"euro-coin, pi-network-iou, trace-network-labs, sandwich-network, azit, ",1.0,"pi-network-iou, "
